Название,Характеристики,Цена,Страрая цена
"Смартфон BQ Fun 5002G, черный "," Код: 1105462; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3790 руб.,-
"Смартфон BQ Fun 5002G, красный "," Код: 1105466; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3790 руб.,-
Смартфон VERTEX Impress графит ," Код: 1099608; ОС Android 7.0, экран: 5"", TN, 854×484, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, время работы в режиме разговора, до: 7ч, в режиме ожидания, до: 240ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3790 руб.,-
"Смартфон MICROMAX BOLT Ultra 2 Q440, шампань "," Код: 1053273; ОС Android 7.0, экран: 5"", IPS, 1280×720, процессор: MediaTek MTK6737, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 3.5ч, в режиме ожидания, до: 200ч, оперативная память: 1Гб, встроенная память: 16Гб ", 3890 руб.,-
"Смартфон ARK Wizard 1 8Gb, черный "," Код: 1026107; ОС Android 7.0, экран: 5"", IPS, 1280×720, процессор: MediaTek MT6737, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3890 руб.,-
"Смартфон ARK Wizard 1 8Gb, черный "," Код: 1048442; ОС Android 7.0, экран: 5"", IPS, 1280×720, процессор: MediaTek MT6737, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3890 руб.,-
"Смартфон ALCATEL 1 5033D, черный "," Код: 1070315; ОС Android 8.0, экран: 5"", 960×480, процессор: MediaTek MT6739, 1280МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 16ч, в режиме ожидания, до: 350ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3970 руб.,-
"Смартфон ALCATEL 1 5033D, синий "," Код: 1070316; ОС Android 8.0, экран: 5"", 960×480, процессор: MediaTek MT6739, 1280МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 16ч, в режиме ожидания, до: 350ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3970 руб.,-
"Смартфон ALCATEL 1 5033D, золотистый "," Код: 1070317; ОС Android 8.0, экран: 5"", 960×480, процессор: MediaTek MT6739, 1280МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 16ч, в режиме ожидания, до: 350ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3970 руб.,-
"Смартфон DIGMA Linx X1 Pro 3G, темно-синий "," Код: 1064822; ОС Android 8.1, экран: 5"", IPS, 1280×720, процессор: MT6580, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 3990 руб., 5690 руб.
"Смартфон DIGMA Linx X1 Pro 3G, темно-серый "," Код: 1064823; ОС Android 8.1, экран: 5"", IPS, 1280×720, процессор: MT6580, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 3990 руб., 5690 руб.
"Смартфон DIGMA Linx Rage 4G, черный "," Код: 1048200; ОС Android 8.1, экран: 5.7"", IPS, 1440×720, процессор: Spreadtrum SC9850KL, 1300МГц, 4-х ядерный, камера: 8Мп, FM-радио, GPS, оперативная память: 2Гб, встроенная память: 16Гб ", 6318 руб., 7990 руб.
"Смартфон HONOR 7A Pro 16Gb, черный "," Код: 1061355; ОС Android 8.0, экран: 5.7"", IPS, 1440×720, процессор: Qualcomm MSM8937, 1400МГц, 8-ми ядерный, камера: 13Мп, GPS, ГЛОНАСС, оперативная память: 2Гб, встроенная память: 16Гб ", 8970 руб.,-
"Смартфон XIAOMI Redmi 6 32Gb, золотистый "," Код: 1131128; ОС Android 8.1, экран: 5.45"", IPS, 1440×720, процессор: MediaTek Helio P22, 2000МГц, 8-ми ядерный, камера: 12Мп, GPS, ГЛОНАСС, оперативная память: 3Гб, встроенная память: 32Гб ", 9990 руб.,-
"Смартфон SAMSUNG Galaxy J4+ (2018) 32Gb, SM-J415F, черный "," Код: 1089326; ОС Android 8.1, экран: 6"", TFT, 1480×720, процессор: 1400МГц, 4-х ядерный, камера: 13Мп, GPS, ГЛОНАСС, время работы в режиме разговора, до: 23ч, оперативная память: 3Гб, встроенная память: 32Гб ", 9990 руб.,-
"Смартфон HONOR 10i 128Gb, черный "," Код: 1134249; ОС Android 9, экран: 6.21"", 2340×1080, процессор: Kirin 710F, 2200МГц, 8-ми ядерный, камера: 24Мп, FM-радио, GPS, ГЛОНАСС, чехол в комплекте, оперативная память: 4Гб, встроенная память: 128Гб ", 19 990 руб.,-
"Смартфон ZTE Blade 32Gb, А622, черный "," Код: 1119693; ОС Android 7.1, экран: 5.2"", IPS, 1280×720, процессор: Qualcomm Snapdragon 425, 1400МГц, 4-х ядерный, камера: 13Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 48ч, в режиме ожидания, до: 840ч, оперативная память: 3Гб, встроенная... ", 7490 руб.,-
"Смартфон SAMSUNG Galaxy A7 (2018) 64Gb, SM-A750F, синий "," Код: 1089310; ОС Android 8.1, экран: 6"", Super AMOLED, 2220×1080, процессор: Exynos 7885, 2200МГц, 8-ми ядерный, камера: 24Мп, GPS, ГЛОНАСС, оперативная память: 4Гб, встроенная память: 64Гб ", 18 990 руб.,-
"Смартфон HUAWEI P20 lite 64Gb, черный "," Код: 1052383; ОС Android 8.0, экран: 5.84"", LTPS, 2280×1080, процессор: Kirin 659, 2360МГц, 8-ми ядерный, камера: 16Мп, FM-радио, GPS, ГЛОНАСС, время работы в режиме разговора, до: 30ч, в режиме ожидания, до: 471ч, оперативная память: 4Гб, встроенная память:... ", 14 990 руб., 16 990 руб.
